"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_name","gene_type","direction","ensembl_clean","ENTREZID"
666.792929100067,-1.37302083381539,0.1801173533834,-7.62292365518363,2.47993567381092e-14,1.67453453093279e-12,"ENSG00000091831.24","ESR1","protein_coding","Down_in_MUT","ENSG00000091831","2099"
4.60819808994418,-1.12537499983281,0.281290433382164,-4.00075817119547,6.31398586453571e-05,0.000350336078496897,"ENSG00000092054.13","MYH7","protein_coding","Down_in_MUT","ENSG00000092054","4625"
186.073581671264,-1.54784395647344,0.213261843533556,-7.25795074649578,3.92998591189908e-13,2.04327212068737e-11,"ENSG00000092850.12","TEKT2","protein_coding","Down_in_MUT","ENSG00000092850","27285"
302.647293279645,-1.80723687526589,0.2711536717109,-6.66499134554494,2.64680951907647e-11,8.52085516994810e-10,"ENSG00000094755.17","GABRP","protein_coding","Down_in_MUT","ENSG00000094755","2568"
1.17588614120165,-1.076544842375,0.404714691577339,-2.66000929736271,0.00781384945104543,0.0212559914522251,"ENSG00000094796.5","KRT31","protein_coding","Down_in_MUT","ENSG00000094796","3881"
15.405613019256,-1.72242381688849,0.3081309007005,-5.5899093955613,2.27188123969396e-08,3.41533156016393e-07,"ENSG00000095596.12","CYP26A1","protein_coding","Down_in_MUT","ENSG00000095596","1592"
119.14530176809,-1.32131351363117,0.235218982910293,-5.61737618827764,1.9387900584723e-08,2.96787598240012e-07,"ENSG00000095917.14","TPSD1","protein_coding","Down_in_MUT","ENSG00000095917","23430"
5.54306543684912,1.34272635991452,0.353706571730599,3.7961589272851,0.000146955308828216,0.00072704325483764,"ENSG00000095981.11","KCNK16","protein_coding","Up_in_MUT","ENSG00000095981","83795"
78578.4168746363,1.35392334211264,0.38756419432368,3.49341699244253,0.000476881214645546,0.0019864960386836,"ENSG00000096088.16","PGC","protein_coding","Up_in_MUT","ENSG00000096088","5225"
52.0615290749043,1.58393262533339,0.619621769938441,2.55628950140139,0.0105795059087363,0.0273329631012755,"ENSG00000099399.6","MAGEB2","protein_coding","Up_in_MUT","ENSG00000099399","4113"
3.61082137026393,-1.25193281690369,0.350029328050671,-3.5766512019886,0.000348024049271142,0.00152570487954891,"ENSG00000099869.8","IGF2-AS","lncRNA","Down_in_MUT","ENSG00000099869","51214"
725.384068327366,-2.27085726660204,0.281851792915431,-8.05691971341624,7.82410021044828e-16,6.94601386649575e-14,"ENSG00000099937.11","SERPIND1","protein_coding","Down_in_MUT","ENSG00000099937","3053"
7375.90761875086,-1.53504361468168,0.209886721622739,-7.3136766481152,2.59930207501828e-13,1.41805758249852e-11,"ENSG00000099953.10","MMP11","protein_coding","Down_in_MUT","ENSG00000099953","4320"
25.4058134657444,-1.35175700213537,0.295339258081307,-4.57696349248371,4.71773751824552e-06,3.71348511839968e-05,"ENSG00000100012.12","SEC14L3","protein_coding","Down_in_MUT","ENSG00000100012","266629"
12.1476210285947,-1.50392034076491,0.242252764863409,-6.20806264734635,5.36417682361641e-10,1.22729131044852e-08,"ENSG00000100121.13","GGTLC2","protein_coding","Down_in_MUT","ENSG00000100121","91227"
527.308566781576,-1.19575189465291,0.277457734717586,-4.30967223123197,1.6349668550784e-05,0.000109058243277948,"ENSG00000100170.10","SLC5A1","protein_coding","Down_in_MUT","ENSG00000100170","6523"
372.380902437625,1.07981239763306,0.270056830432026,3.99846356748549,6.37549920088633e-05,0.000353318614208743,"ENSG00000100285.10","NEFH","protein_coding","Up_in_MUT","ENSG00000100285","4744"
10.1810735743763,-1.09864040950981,0.412976289581356,-2.66029899833602,0.00780713106544309,0.0212431549719744,"ENSG00000100341.12","PNPLA5","protein_coding","Down_in_MUT","ENSG00000100341","150379"
18.6387466360412,-1.06095779700224,0.180451287082928,-5.87946926925864,4.11584000115189e-09,7.505616759316e-08,"ENSG00000100362.13","PVALB","protein_coding","Down_in_MUT","ENSG00000100362","5816"
1182.30247828328,1.02420715251036,0.106934148399106,9.57792405740911,9.90150385242184e-22,2.17635054676232e-19,"ENSG00000100413.17","POLR3H","protein_coding","Up_in_MUT","ENSG00000100413","171568"
20.3134912782664,-1.68274363981281,0.295832920990916,-5.68815544320197,1.28418904973526e-08,2.05838277751166e-07,"ENSG00000100433.16","KCNK10","protein_coding","Down_in_MUT","ENSG00000100433","54207"
87.6388143699238,-1.16629656966475,0.360029867578721,-3.23944393143922,0.00119763010357771,0.00435842998620678,"ENSG00000100557.10","CCDC198","protein_coding","Down_in_MUT","ENSG00000100557","55195"
68.5611695986042,2.92586073240459,0.319751259145837,9.15042755490796,5.67086567769431e-20,9.76952216290786e-18,"ENSG00000100604.13","CHGA","protein_coding","Up_in_MUT","ENSG00000100604","1113"
102.064595488009,-1.2485382762225,0.408486129200487,-3.05650103386917,0.00223936708281229,0.00740054627709565,"ENSG00000100665.12","SERPINA4","protein_coding","Down_in_MUT","ENSG00000100665","5267"
19.7638732775179,-1.09505805204301,0.237705894590774,-4.60677701715483,4.08958132924409e-06,3.28227264025028e-05,"ENSG00000100987.15","VSX1","protein_coding","Down_in_MUT","ENSG00000100987","30813"
2.24520167028549,1.2369091451552,0.452327115580304,2.73454564749746,0.00624664334671546,0.0176323416972074,"ENSG00000101180.16","HRH3","protein_coding","Up_in_MUT","ENSG00000101180","11255"
37.7197768801207,1.07685471142281,0.308165534138739,3.49440346868251,0.000475122393128527,0.00198000140118876,"ENSG00000101188.5","NTSR1","protein_coding","Up_in_MUT","ENSG00000101188","4923"
